date,gdp,NBER,y,dy
1988-04-01,9490.594,0,9.158056481847481,5.2218950702098255
1988-07-01,9546.206,0,9.163899077052257,2.3370380819102365
1988-10-01,9673.405,0,9.177135646426292,5.294627749614023
1989-01-01,9771.725,0,9.187248290352503,4.045057570484545
1989-04-01,9846.293,0,9.19485031815285,3.0408111201388976
1989-07-01,9919.228,0,9.20223037466994,2.952022606835669
1989-10-01,9938.767,0,9.2041982476909,0.7871492083843634
1990-01-01,10047.386,0,9.215067780152992,4.3478129848367075
1990-04-01,10083.855,0,9.218690908989831,1.4492515347356516
1990-07-01,10090.569,0,9.219356504225448,0.26623809424677347
1990-10-01,9998.704,1,9.210210763577377,-3.658296259228422
1991-01-01,9951.916,1,9.20552037442887,-1.8761556594029116
1991-04-01,10029.51,0,9.213287026322933,3.1066607576249794
1991-07-01,10080.195,0,9.218327886676338,2.016344141362225
1991-10-01,10115.329,0,9.221807275024446,1.3917553392431614
1992-01-01,10236.435,0,9.233708693445871,4.760567368570179
1992-04-01,10347.429,0,9.244493362038583,4.31386743708444
1992-07-01,10449.673,0,9.254325965037328,3.9330411994981773
1992-10-01,10558.648,0,9.264700518760643,4.149821489325944
1993-01-01,10576.275,0,9.266368564022704,0.6672181048244852
1993-04-01,10637.847,0,9.272173392796129,2.32193150936979
1993-07-01,10688.606,0,9.27693359327089,1.9040801899045334
1993-10-01,10833.987,0,9.290443416290966,5.4039292080304335
1994-01-01,10939.116,0,9.300100268323554,3.862740813035259
1994-04-01,11087.361,0,9.31356108989889,5.384328630134405
1994-07-01,11152.176,0,9.319389914798297,2.3315299597626904
1994-10-01,11279.932,0,9.330780496665085,4.556232746715239
1995-01-01,11319.951,0,9.334322023125898,1.4166105843251842
1995-04-01,11353.721,0,9.337300810590987,1.1915149860357133
1995-07-01,11450.31,0,9.345772082851694,3.3885089042826166
1995-10-01,11528.067,0,9.352539949598624,2.7071466987720783
1996-01-01,11614.418,0,9.360002536329624,2.985034692400035
1996-04-01,11808.14,0,9.376544403138531,6.616746723562983
1996-07-01,11914.063,0,9.385474746071244,3.5721371730851104
1996-10-01,12037.775,0,9.395804901120613,4.132062019747451
1997-01-01,12115.472,0,9.402238592458689,2.5734765352304123
1997-04-01,12317.221,0,9.418753643461363,6.606020401069657
1997-07-01,12471.01,0,9.431162029780742,4.963354527751562
1997-10-01,12577.495,0,9.439664384830113,3.4009420197484985
1998-01-01,12703.742,0,9.449651874716464,3.9949959545403146
1998-04-01,12821.339,0,9.458866171198386,3.685718592768694
1998-07-01,12982.752,0,9.471376986275322,5.004326030774564
1998-10-01,13191.67,0,9.487340848765847,6.385544996209802
1999-01-01,13315.597,0,9.496691333893294,3.740194050978829
1999-04-01,13426.748,0,9.505004115742864,3.325112739828029
1999-07-01,13604.771,0,9.518175819028645,5.268681314312573
1999-10-01,13827.98,0,9.534449354699712,6.509414268426639
2000-01-01,13878.147,0,9.538070723707763,1.448547603220618
2000-04-01,14130.908,0,9.556119734052743,7.219604137991809
2000-07-01,14145.312,0,9.55713854075646,0.40752268148693815
2000-10-01,14229.765,0,9.56309117654135,2.381054313956099
2001-01-01,14183.12,0,9.559807804092207,-1.3133489796572917
2001-04-01,14271.694,1,9.566033414006979,2.4902439659086895
2001-07-01,14214.516,1,9.562018974965161,-1.605775616727101
2001-10-01,14253.574,1,9.564762961267519,1.0975945209430904
2002-01-01,14372.785,0,9.573091766836415,3.331522227558281
2002-04-01,14460.848,0,9.579200138529885,2.443348677388002
2002-07-01,14519.633,0,9.583257012577263,1.6227496189515023
2002-10-01,14537.58,0,9.584492299821237,0.494114897589526
2003-01-01,14614.141,0,9.589744900587087,2.1010403063399963
2003-04-01,14743.567,0,9.598562131039955,3.52689218114719
2003-07-01,14988.782,0,9.615057333625899,6.598081034377401
2003-10-01,15162.76,0,9.626597700673301,4.616146818960942
2004-01-01,15248.68,0,9.632248220912203,2.260208095560756
2004-04-01,15366.85,0,9.639967870831144,3.087859967576634
2004-07-01,15512.619,0,9.649409100716316,3.7764919540684616
2004-10-01,15670.88,0,9.659559492037449,4.060156528453263
2005-01-01,15844.727,0,9.670592042566685,4.413020211694629
2005-04-01,15922.782,0,9.675506192875309,1.965660123449453
2005-07-01,16047.587,0,9.68331377457644,3.1230326804525532
2005-10-01,16136.734,0,9.688853566948517,2.215916948830454
2006-01-01,16353.835,0,9.70221770539623,5.345655379085201
2006-04-01,16396.151,0,9.704801891145129,1.0336742995598058
2006-07-01,16420.738,0,9.70630032718521,0.5993744160321057
2006-10-01,16561.866,0,9.714858102750625,3.423110226166415
2007-01-01,16611.69,0,9.717861943367756,1.2015362468524415
2007-04-01,16713.314,0,9.723960926282437,2.439593165872367
2007-07-01,16809.587,0,9.729704657391745,2.2974924437228594
2007-10-01,16915.191,0,9.73596737290394,2.5050862048779265
2008-01-01,16843.003,1,9.731690597313907,-1.7107102360128579
2008-04-01,16943.291,1,9.737627223245223,2.3746503725263324
2008-07-01,16854.295,1,9.73236079944244,-2.1065695211134994
2008-10-01,16485.35,1,9.710227386702954,-8.853365095794175
2009-01-01,16298.262,1,9.698813755343052,-4.565452543960902
2009-04-01,16269.145,1,9.697025648125424,-0.715242887051204
2009-07-01,16326.281,0,9.700531419672563,1.402308618855841
2009-10-01,16502.754,0,9.711282555051808,4.300454151697863
2010-01-01,16582.71,0,9.716115865272487,1.933324088271604
2010-04-01,16743.162,0,9.725745215095095,3.8517399290434184
2010-07-01,16872.266,0,9.733426487800099,3.072509082001318
2010-10-01,16960.864,0,9.73866385144455,2.094945457780284
2011-01-01,16920.632,0,9.7362889847085,-0.9499466944198787
2011-04-01,17035.114,0,9.743032022177166,2.697214987466623
2011-07-01,17031.313,0,9.742808869921381,-0.0892609023139812
2011-10-01,17222.583,0,9.753976766732846,4.467158724585829
2012-01-01,17367.01,0,9.762327708551636,3.340376727516059
2012-04-01,17444.525,0,9.766781124817959,1.7813665065290252
2012-07-01,17469.65,0,9.76822036858282,0.5756975059448166
2012-10-01,17489.852,0,9.769376105998571,0.46229496630019185
2013-01-01,17662.4,0,9.779193365264087,3.926903706206275
2013-04-01,17709.671,0,9.781866153529224,1.0691153060548686
2013-07-01,17860.45,0,9.790344050081721,3.3911586209988798
2013-10-01,18016.147,0,9.799023690319984,3.47185609530527
2014-01-01,17953.974,0,9.795566762170324,-1.3827712598640574
2014-04-01,18185.911,0,9.808402452399474,5.1342760916597285
2014-07-01,18406.941,0,9.820483100725255,4.832259330312638
2014-10-01,18500.031,0,9.825527686740688,2.0178344061733355
2015-01-01,18666.621,0,9.834492234617613,3.5858191507699644
2015-04-01,18782.243,0,9.84066718120015,2.469978633014591
2015-07-01,18857.418,0,9.84466164331584,1.5977848462760846
2015-10-01,18892.206,0,9.846504735042945,0.7372366908420247
2016-01-01,19001.69,0,9.852283201561416,2.311386607388499
2016-04-01,19062.709,0,9.85548929722409,1.2824382650691746
2016-07-01,19197.938,0,9.862558156415194,2.827543676441735
2016-10-01,19304.352,0,9.868085841701404,2.2110741144842905
2017-01-01,19398.343,0,9.87294292903244,1.9428349324144278
2017-04-01,19506.949,0,9.878526040045418,2.233244405191215
2017-07-01,19660.766,0,9.886380355302267,3.141726102739284
2017-10-01,19882.352,0,9.89758778307166,4.48297110775755
2018-01-01,20044.077,0,9.90568897762083,3.2404778196678308
2018-04-01,20150.476,0,9.910983189924599,2.11768492150739
2018-07-01,20276.154,0,9.917200794749824,2.487041930090328
2018-10-01,20304.874,0,9.918616234733008,0.5661759932735322
2019-01-01,20431.641,0,9.924840007640276,2.4895091629069555
2019-04-01,20602.275,0,9.933156785573171,3.326711173158259
2019-07-01,20843.322,0,9.944788888154081,4.6528410323638525
2019-10-01,20985.448,0,9.951584524122135,2.7182543872214637
